dim_cas_sk,cas_id,oznaka_casa,leto,mesec,naziv_meseca,kvartal,sezona,granularnost
1,201300,2013,2013,,,,,LETO
2,201400,2014,2014,,,,,LETO
3,201500,2015,2015,,,,,LETO
4,201600,2016,2016,,,,,LETO
5,201700,2017,2017,,,,,LETO
6,201800,2018,2018,,,,,LETO
7,201900,2019,2019,,,,,LETO
8,202000,2020,2020,,,,,LETO
9,202001,2020M01,2020,1,Januar,1,Zima,MESEC
10,202002,2020M02,2020,2,Februar,1,Zima,MESEC
11,202003,2020M03,2020,3,Marec,1,Pomlad,MESEC
12,202004,2020M04,2020,4,April,2,Pomlad,MESEC
13,202005,2020M05,2020,5,Maj,2,Pomlad,MESEC
14,202006,2020M06,2020,6,Junij,2,Poletje,MESEC
15,202007,2020M07,2020,7,Julij,3,Poletje,MESEC
16,202008,2020M08,2020,8,Avgust,3,Poletje,MESEC
17,202009,2020M09,2020,9,September,3,Jesen,MESEC
18,202010,2020M10,2020,10,Oktober,4,Jesen,MESEC
19,202011,2020M11,2020,11,November,4,Jesen,MESEC
20,202012,2020M12,2020,12,December,4,Zima,MESEC
21,202100,2021,2021,,,,,LETO
22,202101,2021M01,2021,1,Januar,1,Zima,MESEC
23,202102,2021M02,2021,2,Februar,1,Zima,MESEC
24,202103,2021M03,2021,3,Marec,1,Pomlad,MESEC
25,202104,2021M04,2021,4,April,2,Pomlad,MESEC
26,202105,2021M05,2021,5,Maj,2,Pomlad,MESEC
27,202106,2021M06,2021,6,Junij,2,Poletje,MESEC
28,202107,2021M07,2021,7,Julij,3,Poletje,MESEC
29,202108,2021M08,2021,8,Avgust,3,Poletje,MESEC
30,202109,2021M09,2021,9,September,3,Jesen,MESEC
31,202110,2021M10,2021,10,Oktober,4,Jesen,MESEC
32,202111,2021M11,2021,11,November,4,Jesen,MESEC
33,202112,2021M12,2021,12,December,4,Zima,MESEC
34,202200,2022,2022,,,,,LETO
35,202201,2022M01,2022,1,Januar,1,Zima,MESEC
36,202202,2022M02,2022,2,Februar,1,Zima,MESEC
37,202203,2022M03,2022,3,Marec,1,Pomlad,MESEC
38,202204,2022M04,2022,4,April,2,Pomlad,MESEC
39,202205,2022M05,2022,5,Maj,2,Pomlad,MESEC
40,202206,2022M06,2022,6,Junij,2,Poletje,MESEC
41,202207,2022M07,2022,7,Julij,3,Poletje,MESEC
42,202208,2022M08,2022,8,Avgust,3,Poletje,MESEC
43,202209,2022M09,2022,9,September,3,Jesen,MESEC
44,202210,2022M10,2022,10,Oktober,4,Jesen,MESEC
45,202211,2022M11,2022,11,November,4,Jesen,MESEC
46,202212,2022M12,2022,12,December,4,Zima,MESEC
47,202300,2023,2023,,,,,LETO
48,202301,2023M01,2023,1,Januar,1,Zima,MESEC
49,202302,2023M02,2023,2,Februar,1,Zima,MESEC
50,202303,2023M03,2023,3,Marec,1,Pomlad,MESEC
51,202304,2023M04,2023,4,April,2,Pomlad,MESEC
52,202305,2023M05,2023,5,Maj,2,Pomlad,MESEC
53,202306,2023M06,2023,6,Junij,2,Poletje,MESEC
54,202307,2023M07,2023,7,Julij,3,Poletje,MESEC
55,202308,2023M08,2023,8,Avgust,3,Poletje,MESEC
56,202309,2023M09,2023,9,September,3,Jesen,MESEC
57,202310,2023M10,2023,10,Oktober,4,Jesen,MESEC
58,202311,2023M11,2023,11,November,4,Jesen,MESEC
59,202312,2023M12,2023,12,December,4,Zima,MESEC
60,202400,2024,2024,,,,,LETO
61,202401,2024M01,2024,1,Januar,1,Zima,MESEC
62,202402,2024M02,2024,2,Februar,1,Zima,MESEC
63,202403,2024M03,2024,3,Marec,1,Pomlad,MESEC
64,202404,2024M04,2024,4,April,2,Pomlad,MESEC
65,202405,2024M05,2024,5,Maj,2,Pomlad,MESEC
66,202406,2024M06,2024,6,Junij,2,Poletje,MESEC
67,202407,2024M07,2024,7,Julij,3,Poletje,MESEC
68,202408,2024M08,2024,8,Avgust,3,Poletje,MESEC
69,202409,2024M09,2024,9,September,3,Jesen,MESEC
70,202410,2024M10,2024,10,Oktober,4,Jesen,MESEC
71,202411,2024M11,2024,11,November,4,Jesen,MESEC
72,202412,2024M12,2024,12,December,4,Zima,MESEC
73,202500,2025,2025,,,,,LETO
74,202501,2025M01,2025,1,Januar,1,Zima,MESEC
75,202502,2025M02,2025,2,Februar,1,Zima,MESEC
76,202503,2025M03,2025,3,Marec,1,Pomlad,MESEC
77,202504,2025M04,2025,4,April,2,Pomlad,MESEC
78,202505,2025M05,2025,5,Maj,2,Pomlad,MESEC
79,202506,2025M06,2025,6,Junij,2,Poletje,MESEC
80,202507,2025M07,2025,7,Julij,3,Poletje,MESEC
81,202508,2025M08,2025,8,Avgust,3,Poletje,MESEC
82,202509,2025M09,2025,9,September,3,Jesen,MESEC
83,202510,2025M10,2025,10,Oktober,4,Jesen,MESEC
84,202511,2025M11,2025,11,November,4,Jesen,MESEC
85,202512,2025M12,2025,12,December,4,Zima,MESEC
86,202600,2026,2026,,,,,LETO
87,202601,2026M01,2026,1,Januar,1,Zima,MESEC
88,202602,2026M02,2026,2,Februar,1,Zima,MESEC
89,202603,2026M03,2026,3,Marec,1,Pomlad,MESEC
90,202604,2026M04,2026,4,April,2,Pomlad,MESEC
91,202605,2026M05,2026,5,Maj,2,Pomlad,MESEC
92,202606,2026M06,2026,6,Junij,2,Poletje,MESEC
93,202607,2026M07,2026,7,Julij,3,Poletje,MESEC
94,202608,2026M08,2026,8,Avgust,3,Poletje,MESEC
95,202609,2026M09,2026,9,September,3,Jesen,MESEC
96,202610,2026M10,2026,10,Oktober,4,Jesen,MESEC
97,202611,2026M11,2026,11,November,4,Jesen,MESEC
98,202612,2026M12,2026,12,December,4,Zima,MESEC
