time_id,leto,mesec,kvartal,sezona
202001,2020,1,1,Zima
202002,2020,2,1,Zima
202003,2020,3,1,Pomlad
202004,2020,4,2,Pomlad
202005,2020,5,2,Pomlad
202006,2020,6,2,Poletje
202007,2020,7,3,Poletje
202008,2020,8,3,Poletje
202009,2020,9,3,Jesen
202010,2020,10,4,Jesen
202011,2020,11,4,Jesen
202012,2020,12,4,Zima
202101,2021,1,1,Zima
202102,2021,2,1,Zima
202103,2021,3,1,Pomlad
202104,2021,4,2,Pomlad
202105,2021,5,2,Pomlad
202106,2021,6,2,Poletje
202107,2021,7,3,Poletje
202108,2021,8,3,Poletje
202109,2021,9,3,Jesen
202110,2021,10,4,Jesen
202111,2021,11,4,Jesen
202112,2021,12,4,Zima
202201,2022,1,1,Zima
202202,2022,2,1,Zima
202203,2022,3,1,Pomlad
202204,2022,4,2,Pomlad
202205,2022,5,2,Pomlad
202206,2022,6,2,Poletje
202207,2022,7,3,Poletje
202208,2022,8,3,Poletje
202209,2022,9,3,Jesen
202210,2022,10,4,Jesen
202211,2022,11,4,Jesen
202212,2022,12,4,Zima
202301,2023,1,1,Zima
202302,2023,2,1,Zima
202303,2023,3,1,Pomlad
202304,2023,4,2,Pomlad
202305,2023,5,2,Pomlad
202306,2023,6,2,Poletje
202307,2023,7,3,Poletje
202308,2023,8,3,Poletje
202309,2023,9,3,Jesen
202310,2023,10,4,Jesen
202311,2023,11,4,Jesen
202312,2023,12,4,Zima
202401,2024,1,1,Zima
202402,2024,2,1,Zima
202403,2024,3,1,Pomlad
202404,2024,4,2,Pomlad
202405,2024,5,2,Pomlad
202406,2024,6,2,Poletje
202407,2024,7,3,Poletje
202408,2024,8,3,Poletje
202409,2024,9,3,Jesen
202410,2024,10,4,Jesen
202411,2024,11,4,Jesen
202412,2024,12,4,Zima
202501,2025,1,1,Zima
202502,2025,2,1,Zima
202503,2025,3,1,Pomlad
202504,2025,4,2,Pomlad
202505,2025,5,2,Pomlad
202506,2025,6,2,Poletje
202507,2025,7,3,Poletje
202508,2025,8,3,Poletje
202509,2025,9,3,Jesen
202510,2025,10,4,Jesen
202511,2025,11,4,Jesen
202512,2025,12,4,Zima
202601,2026,1,1,Zima
202602,2026,2,1,Zima
202603,2026,3,1,Pomlad
202604,2026,4,2,Pomlad
202605,2026,5,2,Pomlad
202606,2026,6,2,Poletje
202607,2026,7,3,Poletje
202608,2026,8,3,Poletje
202609,2026,9,3,Jesen
202610,2026,10,4,Jesen
202611,2026,11,4,Jesen
202612,2026,12,4,Zima
